,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
7104,lsMs,12,14,0.54,26,0.8,5,0.75,4,0.5,4,0.5,4,0.5,4,0.6190476190476191,21
7106,lsNM,15,15,0.5,30,0.6699999999999999,3,0.5,4,0.71,7,0.6699999999999999,6,0.6,5,0.64,25
7132,mBMM,38,57,0.6,95,0.5700000000000001,30,0.54,28,0.5,10,0.56,9,0.5,18,0.5368421052631579,95
7144,mBPM,46,60,0.5700000000000001,106,0.5900000000000001,37,0.5,32,0.52,23,0.61,18,0.64,28,0.572463768115942,138
7155,mBbN,66,69,0.51,135,0.6699999999999999,27,0.5800000000000001,24,0.65,26,0.55,29,0.52,21,0.5984251968503937,127
7177,mBsN,45,50,0.53,95,0.52,23,0.71,17,0.71,7,0.5700000000000001,7,0.5,10,0.59375,64
7178,mBsP,36,52,0.5900000000000001,88,0.69,13,0.69,13,0.71,14,0.54,13,0.71,17,0.6714285714285714,70
7189,mDMS,10,16,0.62,26,0.6699999999999999,9,0.5,14,0.5,2,1.0,1,0.5,4,0.5666666666666667,30
7263,mHmM,72,81,0.53,153,0.55,40,0.62,24,0.56,16,0.62,13,0.6699999999999999,6,0.5858585858585859,99
7278,mJBM,10,12,0.55,22,0.5,4,0.5700000000000001,7,0.83,6,0.5,4,1.0,2,0.6521739130434783,23
7283,mJMN,12,14,0.54,26,1.0,2,0.71,7,0.5,4,0.71,7,0.6699999999999999,6,0.6923076923076923,26
7301,mJmm,12,20,0.62,32,0.5,8,0.5,10,0.5,4,0.5,2,0.6699999999999999,3,0.5185185185185185,27
7319,mLPM,10,16,0.62,26,0.62,8,0.7,10,0.75,12,0.56,9,0.5700000000000001,7,0.6521739130434783,46
7349,mLsP,14,15,0.52,29,0.6,5,0.86,7,0.8,5,0.6699999999999999,6,0.5,4,0.7037037037037037,27
7361,mMDP,11,15,0.5800000000000001,26,0.5,10,0.5,6,1.0,1,1.0,1,1.0,1,0.5789473684210527,19
7381,mMNM,62,95,0.61,157,0.65,23,0.55,22,0.5,8,0.65,23,0.71,21,0.6288659793814433,97
7389,mMPH,21,25,0.54,46,0.6699999999999999,12,0.5700000000000001,7,0.78,9,0.6,10,0.5,6,0.6363636363636364,44
7414,mMlP,16,17,0.52,33,0.56,9,0.5,10,0.5,10,0.5,6,0.53,15,0.52,50
7426,mMmS,68,67,0.5,135,0.62,26,0.52,31,0.5,20,0.62,8,0.55,11,0.5520833333333334,96
